enzyme,buffer,incubation_c,inactivate_c,inactivate_min,time_saver,stock_u_per_ul,notes,source
ApaLI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ApeKI,NEBuffer r3.1,75,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ApoI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AscI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AseI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AsiSI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AvaI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AvaII,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AvrII,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BaeGI,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BaeI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BamHI,NEBuffer r3.1,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BamHI-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BanI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BanII,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BbsI,NEBuffer r2.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BbsI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BbvCI,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BbvI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BccI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BceAI,NEBuffer r3.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BcgI,NEBuffer r3.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BciVI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BclI,NEBuffer r3.1,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BclI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BcoDI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BfaI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BfuAI,NEBuffer r3.1,50,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BglI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BglII,NEBuffer r3.1,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BlpI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BmgBI,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BmrI,NEBuffer r2.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BmtI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BpmI,NEBuffer r3.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BpuEI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Bpu10I,NEBuffer r3.1,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaAI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaBI,rCutSmart,60,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaHI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaI-HFv2,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaJI,rCutSmart,60,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaWI,rCutSmart,60,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsaXI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BseRI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BseYI,NEBuffer r3.1,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsgI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsiEI,rCutSmart,60,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsiHKAI,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsiWI,NEBuffer r3.1,55,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsiWI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BslI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsmAI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsmBI-v2,NEBuffer r3.1,55,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsmFI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsmI,rCutSmart,65,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsoBI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspCNI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspDI,rCutSmart,37,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspEI,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspHI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Bsp1286I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspMI,NEBuffer r3.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspQI,NEBuffer r3.1,50,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BspQI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsrBI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsrDI,NEBuffer r2.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsrFI-v2,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsrGI-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BsrI,NEBuffer r3.1,65,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BssHII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BssSI-v2,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstAPI,rCutSmart,60,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstBI,rCutSmart,65,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstEII-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstNI,NEBuffer r3.1,60,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstUI,rCutSmart,60,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstXI,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstYI,rCutSmart,60,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BstZ17I-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Bsu36I,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BtgI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BtgZI,rCutSmart,60,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BtsCI,rCutSmart,50,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BtsIMutI,rCutSmart,55,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
BtsI-v2,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Cac8I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ClaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
CspCI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
CviKI-1,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
CviQI,NEBuffer r3.1,25,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DdeI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DpnI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DpnII,NEBuffer DpnII,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DraI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DraIII-HF,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
DrdI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EaeI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EagI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EarI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EciI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Eco53kI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoNI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoO109I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoP15I,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoRI,NEBuffer EcoRI/SspI,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoRI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoRV,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
EcoRV-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Esp3I,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
FatI,NEBuffer r2.1,55,80,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
FauI,rCutSmart,55,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Fnu4HI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
FokI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
FseI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
FspI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HaeII,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HaeIII,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HgaI,NEBuffer r1.1,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HhaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HincII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HindIII,NEBuffer r2.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HindIII-HF,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
HinfI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
